Lifetime Engaged Users,Page total likes,Type_Photo,Type_status,Type_video,Type_link,Category_one,Category_two,Category_three,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
178,139441,1,0,0,0,0,1,0,12,4,3,0,2752,5091,109,159,3078,1640,119,4,79,17,100
1457,139441,0,1,0,0,0,1,0,12,3,10,0,10460,19057,1361,1674,11710,6112,1108,5,130,29,164
177,139441,1,0,0,0,0,0,1,12,3,3,0,2413,4373,113,154,2812,1503,132,0,66,14,80
2211,139441,1,0,0,0,0,1,0,12,2,10,1,50128,87991,790,1119,61027,32048,1386,58,1572,147,1777
671,139441,1,0,0,0,0,1,0,12,2,3,0,7244,13594,410,580,6228,3200,396,19,325,49,393
1191,139441,0,1,0,0,0,1,0,12,1,9,0,10472,20849,1073,1389,16034,7852,1016,1,152,33,186
481,139441,1,0,0,0,0,0,1,12,1,3,1,11692,19479,265,364,15432,9328,379,3,249,27,279
537,139441,1,0,0,0,0,0,1,12,7,9,1,13720,24137,232,305,19728,11056,422,0,325,14,339
1530,139441,0,1,0,0,0,1,0,12,7,3,0,11844,22538,1407,1692,15220,7912,1250,0,161,31,192
280,139441,1,0,0,0,0,0,1,12,6,10,0,4694,8668,183,250,4309,2324,199,3,113,26,142
4258,139441,0,1,0,0,0,1,0,12,5,10,0,21744,42334,4100,4540,37849,18952,3798,0,233,19,252
208,139441,1,0,0,0,0,1,0,12,5,10,0,3112,5590,127,145,3887,2174,165,0,88,18,106
193,139441,1,0,0,0,0,1,0,12,5,10,0,2847,5133,115,133,3779,2072,152,0,90,14,104
249,139441,1,0,0,0,0,1,0,12,5,3,0,2549,4896,134,168,3631,1917,183,5,137,10,152
887,138414,1,0,0,0,0,1,0,12,4,5,1,22784,39941,337,417,34415,19312,684,2,577,20,599
1264,138414,0,1,0,0,0,1,0,12,3,10,0,10060,19680,1209,1425,17272,8548,1162,4,86,18,108
163,138414,1,0,0,0,0,0,1,12,3,3,0,1722,2981,123,148,1868,1050,123,2,40,12,54
1706,138414,1,0,0,0,1,0,0,12,2,12,1,53264,111785,1103,1655,92512,39776,1307,15,678,20,713
130,138414,0,1,0,0,0,0,1,12,2,3,0,3930,7509,86,112,5009,2410,101,4,54,17,75
121,138414,1,0,0,0,0,0,1,12,1,11,0,1591,2825,88,111,2116,1161,100,0,34,8,42
200,138414,1,0,0,0,0,1,0,12,1,3,0,2848,5066,142,184,3561,1963,157,3,66,12,81
15,138414,1,0,0,0,1,0,0,12,7,10,0,1384,2467,15,20,2196,1172,15,0,0,0,0
118,138414,0,0,0,1,1,0,0,12,7,10,0,3454,6853,104,130,6282,3100,106,0,16,2,18
176,138414,1,0,0,0,0,0,1,12,7,3,0,2723,4888,118,143,2964,1621,143,0,72,24,96
1341,138414,0,1,0,0,0,1,0,12,6,10,0,8488,15294,1270,1489,9684,5244,995,3,99,19,121
1521,138458,0,1,0,0,0,1,0,12,6,3,0,8284,15104,1462,1711,10266,5372,1200,0,88,18,106
2806,138458,0,1,0,0,0,1,0,12,5,11,0,19552,34143,2531,3420,17748,9824,1779,10,412,72,494
212,138458,1,0,0,0,0,0,1,12,5,3,0,2478,4306,124,149,2612,1443,166,0,100,17,117
973,138895,1,0,0,0,0,1,0,12,5,3,0,9560,18264,559,885,9217,4748,621,36,523,63,622
1141,138895,0,0,1,0,1,0,0,12,4,11,1,36208,61262,1068,1728,30131,14112,559,18,143,13,174
385,138895,1,0,0,0,0,1,0,12,4,2,0,4940,9390,306,501,5860,2930,273,33,107,22,162
192,138895,1,0,0,0,0,1,0,12,3,10,0,1683,2929,171,221,1585,858,131,1,27,11,39
368,138895,1,0,0,0,0,0,1,12,3,3,0,5280,9578,237,345,4480,2422,268,2,155,47,204
268,138895,1,0,0,0,0,0,1,12,2,9,0,3002,5318,185,247,3039,1676,194,4,98,23,125
298,138895,1,0,0,0,1,0,0,12,2,3,0,3766,7149,260,431,5782,2938,244,2,56,17,75
423,138895,1,0,0,0,0,1,0,12,1,11,0,4512,7808,284,431,5183,2954,316,6,172,21,199
